Curso,Aluno,CPF,Endereco,Telefone,Data_Nasc
Alemão,"Alexandre Humberto Pinhão de Cerqueira Usago",55775324274,"063 Douglas Stravenue",+55-11-94512-1245,1983-11-21
Alemão,"Dionísio Cirilo Weiss Lole",34123567630,"057 Felicia Plains Apt. 273",+1-084-098-0852,1980-01-04
Alemão,"Edson Coso",71841727055,"1531 Brown Motorway",+1-320-216-2073x6487,1975-05-21
Alemão,"Gisele Rosatto",73645095255,"085 Christopher Manors",+1-132-406-7601,2003-03-17
Alemão,"Helena Gois Creti",66497186863,"0721 Ho Flat Apt. 522",+55-11-98844-2645,1976-09-28
Alemão,"Ivanete Mirela Tsuyupeka",62923232666,"0685 Jackson Ferry Apt. 908",+55-63-97788-8877,1992-12-01
Alemão,"Joelma de Brandão",71491051654,"14956 Brown Knolls",+1-308-457-3135x0137,2004-07-07
Alemão,"Jorge Walter Mili Alkenumi Júnior",84432343161,"2382 Trevor Shore Suite 669",+1-699-041-8342x500,1964-12-13
Alemão,"Josilda Nair Lyphornson",22558877441,"03367 Briggs Wall",+1-046-659-3776x382,2009-04-17
Alemão,"Paula Eztrern",70789700852,"144 Hicks Ports",+1-292-141-1784x1818,1982-10-07
Alemão,"Roberval da Cunha de Tavares",69242576334,"22953 Michael Mountains Suite 782",+1-629-612-7735x0573,1932-01-14
Alemão,"Victor de Medeiros d"Ávila Ecifoson",43926298300,"19899 Amber Groves Suite 120",+1-502-017-3863x00019,1980-09-04
"Ciência da Computação","Abílio Jânio Joepa",69737674648,"14263 Garcia Mission Apt. 814",+1-280-314-4845x866,2004-06-09
"Ciência da Computação","Ali de Magalhães",65867072600,"22319 Lynch Summit",+1-624-303-3807x7302,1979-05-18
"Ciência da Computação","Brenda de Junqueira",71140376253,"144 Hogan Loaf",+1-306-897-1768x3145,1939-08-04
"Ciência da Computação","Danielle Kiean Durirna",01861002026,"1729 Travis Port Suite 555",+1-436-204-0218x93143,1942-05-22
"Ciência da Computação","David Meynyorn",69386999246,"139 Hutchinson Junctions",+1-268-776-5272x81605,2005-04-12
"Ciência da Computação","Eduardo Nepanegi",79369087553,"237 Mark Park Apt. 909",+1-680-479-7414x295,1939-08-09
"Ciência da Computação","Humberto Mike de Uchôa",27048779600,"17858 Heidi Underpass",+1-454-626-5519x56950,2001-06-16
"Ciência da Computação","Jackson Jorge Suwoga",69036323845,"13850 Good Motorway",+1-262-563-8517,2004-01-16
"Ciência da Computação","Jonas Fred Rangel",72618080077,"2311 Ann Courts Apt. 922",+1-665-515-9977x273,1982-12-22
"Ciência da Computação","Josiel de Alvim",17780734413,"05422 Grant Skyway",+1-083-864-2840x9744,1976-04-20
"Ciência da Computação","Lili Terezinha da Silva",67554824469,"2272 Bell Walk",+1-627-528-4315,1958-05-01
"Ciência da Computação","Manoel Charles de Trindade Penedo",02928272625,"0939 Jeff Trail Suite 414",+1-150-081-6101,1978-08-29
"Ciência da Computação","Mel Naves de Vasconcelos",58157960405,"06390 Ashley Forks Apt. 050",+55-11-98989-8989,1966-07-05
"Ciência da Computação","Paulo de Holanda do Espírito Santo Júnior",50677305777,"2076 Earl Fork Suite 238",+1-517-869-1890x06854,2009-11-06
"Ciência da Computação","Quésia Amoã",71262459124,"081 Figueroa Corners Apt. 472",+1-113-947-0116,1979-06-23
"Ciência da Computação","Samara Risme do Vale",21985524001,"1757 John Inlet Suite 690",+1-442-899-0937x509,1987-10-06
"Ciência da Computação","Selma Fortes",56966642339,"0633 Patrick Drives Apt. 420",+55-11-91616-1677,1948-10-09
"Ciência da Computação","Sheila Ocuã",11122233344,"012 Elizabeth Stravenue Apt. 349",+55-22-97777-1212,1994-01-29
"Ciência da Computação","Thiago Leandro do Rio de Souza",86120095098,"23836 Morales Avenue Apt. 703",+1-712-156-1000x894,2007-06-01
"Ciência da Computação","Willian Martin Arno",50466400847,"05839 Thompson Rue",+1-084-892-5501x680,1938-08-31
"Engenharia Elétrica","Abílio Jânio Joepa",69737674648,"14263 Garcia Mission Apt. 814",+1-280-314-4845x866,2004-06-09
"Engenharia Elétrica","Bento Frias",51010052012,"060 Stewart Branch",+55-86-96667-7776,2004-07-10
"Engenharia Elétrica","Itamar de Carvalho Júnior",77219049451,"0934 Lee Valley",+1-145-545-9941x096,1932-01-14
"Engenharia Elétrica","Jonas Fred Rangel",72618080077,"2311 Ann Courts Apt. 922",+1-665-515-9977x273,1982-12-22
"Engenharia Elétrica","Melanie Vânia de Camargo da Rocha",67688504928,"0787 Stephens Plaza",+55-11-93333-0011,2000-03-19
"Engenharia Elétrica","Ney de Toledo Sanches",72543077858,"1624 Amber Point Suite 348",+1-366-174-2909x7141,1956-02-18
"Engenharia Elétrica","Quésia Amoã",71262459124,"081 Figueroa Corners Apt. 472",+1-113-947-0116,1979-06-23
"Engenharia Elétrica","Simão de Fraga Neto",70071141059,"079 Suzanne Stream",+55-11-97667-5455,1963-07-08
"Engenharia Elétrica","Terezinha Bise de Araújo Finanatiov",33799787085,"1892 Cory Village",+1-469-353-6174x2359,1961-04-20
Espanhol,"Ana de Moreira",38863042693,"193 Anthony Tunnel",+1-475-436-9174x158,1942-04-17
Espanhol,"Bartolomeu Otaviano de Ferraz",77681335684,"2353 Andrew Inlet Suite 652",+1-671-746-2629x546,2000-04-18
Espanhol,"Gisele Rosatto",73645095255,"085 Christopher Manors",+1-132-406-7601,2003-03-17
Espanhol,"Isaías Hamilton da Silva",68685648444,"138 Smith Streets Apt. 492",+1-255-321-3202x867,1931-11-03
Espanhol,"Joelma de Brandão",71491051654,"14956 Brown Knolls",+1-308-457-3135x0137,2004-07-07
Espanhol,"Mário Frederico Ovrilso",67984297641,"137 Goodwin Parks",+1-252-863-7092x9337,1997-04-07
Espanhol,"Mateus Rodrigues Guedes Npo",48989553908,"205 Sarah Loop",+1-517-737-7246,1936-08-09
Espanhol,"Milene Selma dos Pinhais de Moura Banhos",32112035216,"18266 Chelsea Mountains",+1-468-874-6602x132,1970-11-21
Espanhol,"Mônica Fabiana Prates",61731914601,"068 Ruth Ridges",+55-69-91111-6666,1965-08-13
Espanhol,"Paula Eztrern",70789700852,"144 Hicks Ports",+1-292-141-1784x1818,1982-10-07
Espanhol,"Wendy Tatiana Mercado de Menezes",43424140187,"10518 Anthony Freeway",+1-167-077-3027x220,1938-04-29
Espanhol,"Yasmin Banhos",57428313254,"2117 Randy Lights",+1-556-408-9360,1977-08-16
Espanhol,"Zara de Angola",62491568861,"219 Gonzalez Valley",+1-581-097-0378,1992-07-09
Estatística,"Abigail Dlantroz",10468536559,"256 Crawford Throughway",+1-777-030-3784x73761,1993-12-28
Estatística,"Ana Moreno",59349278470,"0669 Hill Heights Apt. 171",+55-11-92233-4455,1981-02-07
Estatística,"Bárbara Felícia Robitako",31914223344,"160 Leslie Rue Apt. 353",+1-344-733-4444x1671,1984-03-08
Estatística,"Beatriz Sônia Ublavi da Rocha",60803816994,"21627 David Neck",+1-577-835-7565x573,1981-01-23
Estatística,"Gisele de Meireles",66809234064,"05951 Jenkins Crossing Suite 446",+1-088-816-9973x2987,1972-11-24
Estatística,"Leandro Augusto de Paranhos Amernma Tristão",22233344455,"028 Kenneth Locks",+55-11-91413-1213,2000-09-16
Estatística,"Quirino Martinez da Silva Neienason",68879822993,"0789 Meza Fork",+55-11-91212-1179,1961-07-04
Estatística,"Reinaldo Murilo da Silva",99141819171,"09633 Baker Square",+1-154-623-3842x183,1930-03-26
Estatística,"Robson Drynom Freire Júnior",85095067979,"05080 Travis Shores",+1-082-745-7709x4741,2005-08-04
Estatística,"Rogério Lowimirnian",35467646557,"167 Jeremy Throughway Suite 209",+1-396-537-7355,1947-06-10
Estatística,"Sandra Paulínia Canam",20297772132,"1752 Monica Ranch",+1-440-687-8070,1963-02-13
Estatística,"Xerxes do Paraná",57585758579,"1100 Daniel Gardens Apt. 024",+1-171-628-8431x350,1993-04-25
Finanças,"Albino Nicolas de Gimenes",92871102507,"247 Vaughn Shores",+1-741-371-8090x165,2009-06-27
Finanças,"Ângelo Izcunarn",55740561385,"21067 Laurie Pike",+1-550-416-5992,2004-08-07
Finanças,"Bárbara Felícia Robitako",31914223344,"160 Leslie Rue Apt. 353",+1-344-733-4444x1671,1984-03-08
Finanças,"Damares Célia de Martins Eclaovi da Silva",35487538954,"1908 Kevin Roads Suite 490",+1-472-989-2332x1398,1995-09-26
Finanças,"Leni Xaetreu",68334973043,"13734 Margaret Point",+1-254-970-1261,2001-05-03
Finanças,"Quirino Martinez da Silva Neienason",68879822993,"0789 Meza Fork",+55-11-91212-1179,1961-07-04
Finanças,"Sandro Waei Mendes de Britto",76027731386,"08924 Raymond Run Suite 652",+1-135-928-1213,1938-03-01
Finanças,"Úrsula de Angola Heijira",67633622240,"1356 Watson Estate",+1-251-042-1324x74675,1954-02-09
Francês,"Bete Rute Pede",64114550732,"069 Brittany Points Suite 047",+55-92-98080-7070,1982-12-02
Francês,"Elano Augusto Irnsitli",47301802039,"2024 Huff Union Apt. 574",+1-511-445-0713x65770,1981-05-11
Francês,"Eustáquio Itysson",65529569832,"12544 Byrd Extensions Suite 786",+1-194-494-9092,1982-08-09
Francês,"Oliver Pires Nago",65178894431,"12373 Henry Streets",+1-192-776-1029x206,1933-07-02
Francês,"Roberval de Amorim Drouzcos",23673275870,"176 Annette Run",+1-443-253-1363x736,1932-04-01
Francês,"Rosana Talita de Alvarenga",66932271437,"1338 Heidi Glen Suite 479",+1-208-995-2035x0440,1954-11-19
Francês,"Viviane Larissa de Sampaio",65880245234,"132 Jessica Forge",+1-199-656-5893x5963,1998-04-19
"Gestão Comercial","Ana Dilma Phachuzsay",40550794562,"1946 Glenn Spur",+1-492-068-3719x2665,1997-06-19
"Gestão Comercial","Carlos dos Santos Júnior",37175290824,"1909 Kimberly Inlet",+1-473-912-7616x111,1955-03-08
"Gestão Comercial","Fabiana Dina de Melo",74836413320,"0860 Melinda Drive",+1-135-526-1698x670,1965-04-11
