Matricula,Professor,Endereco,Telefone,Data_Nasc,Data_Contratacao,Cod_Departamento,Disciplina,Codigo
11,"Áureo de Palhares Neiol","0214 Ramos Bypass Apt. 986",+55-51-92929-5550,1951-02-26,2017-08-24,3,"Alemão Avançado",35
11,"Áureo de Palhares Neiol","0214 Ramos Bypass Apt. 986",+55-51-92929-5550,1951-02-26,2017-08-24,3,"Alemão Básico",33
11,"Áureo de Palhares Neiol","0214 Ramos Bypass Apt. 986",+55-51-92929-5550,1951-02-26,2017-08-24,3,"Alemão Intermediário",34
17,"Bella Biwo","03836 Lydia Creek Apt. 778",+1-060-465-8808x51762,1932-08-15,2016-06-23,1,"Matemática Financeira",5
17,"Bella Biwo","03836 Lydia Creek Apt. 778",+1-060-465-8808x51762,1932-08-15,2016-06-23,1,"Mercado de Capitais",7
4,"Cléber de Vasconcelos","0134 Murray Walk",+55-11-4224-2626,1957-08-09,2020-10-05,9,Python,8
19,"Décio de Leão do Amaral Terceiro","04312 Haley Island",+1-065-022-0820,1981-04-06,2016-06-03,3,"Inglês Básico",27
19,"Décio de Leão do Amaral Terceiro","04312 Haley Island",+1-065-022-0820,1981-04-06,2016-06-03,3,"Inglês Intermediário",28
14,"Flaviana Supugeko de Arantes","031 Cook Ville Suite 523",+55-21-90909-4444,1996-05-07,2016-07-30,2,"Gestão de Competências",21
14,"Flaviana Supugeko de Arantes","031 Cook Ville Suite 523",+55-21-90909-4444,1996-05-07,2016-07-30,2,"Identif. Realoc. de Talentos",22
6,"Gabriela da Silva de Macedo","0165 Drew Junction Suite 552",+1-026-402-2651,1930-10-06,2020-05-17,2,"Comércio exterior",18
6,"Gabriela da Silva de Macedo","0165 Drew Junction Suite 552",+1-026-402-2651,1930-10-06,2020-05-17,2,"Gestão de Projetos",19
1,"Gabriela Genir Marinho","000 Wright Motorway Suite 352",+1-006-414-8797,1954-12-08,2016-12-13,1,"Cálculo 2",2
8,"Gabriela Maria Ribohi Valente","01932 Garcia Expressway Suite 183",+1-037-591-5560x81884,1954-04-20,2021-05-24,9,Probabilidade,3
7,"Heitor Raul de Meireles Rilia","0181 Ronald Brooks",+1-032-081-6436,1950-02-02,2019-02-06,3,"Francês Avançado",38
7,"Heitor Raul de Meireles Rilia","0181 Ronald Brooks",+1-032-081-6436,1950-02-02,2019-02-06,3,"Francês Básico",36
7,"Heitor Raul de Meireles Rilia","0181 Ronald Brooks",+1-032-081-6436,1950-02-02,2019-02-06,3,"Francês Intermediário",37
13,"João Osvaldo de Oliva do Prado","02794 Carr Mountains",+55-11-97887-8007,1942-05-15,2020-10-08,1,"Circuitos Elétricos",11
13,"João Osvaldo de Oliva do Prado","02794 Carr Mountains",+55-11-97887-8007,1942-05-15,2020-10-08,1,"Instalações Elétricas",12
9,"Lúcio Ceilson","015 Johnson Stravenue Suite 582",+1-019-168-1103x30298,1973-04-25,2021-07-06,1,"Admin. e Contabilidade",6
18,"Márcio de Oliveira Negrão","041 Lin Lock",+1-061-832-1376x6059,1930-02-21,2021-06-15,2,"Comportam. do Consumidor",17
18,"Márcio de Oliveira Negrão","041 Lin Lock",+1-061-832-1376x6059,1930-02-21,2021-06-15,2,"Introd. Psicologia",20
10,"Marco Yumoma Neto","01627 Lopez Path Suite 161",+1-024-173-1193x0353,1969-05-22,2016-04-18,2,"Concepções de Linguagem",23
10,"Marco Yumoma Neto","01627 Lopez Path Suite 161",+1-024-173-1193x0353,1969-05-22,2016-04-18,2,"Gêneros Literários",24
10,"Marco Yumoma Neto","01627 Lopez Path Suite 161",+1-024-173-1193x0353,1969-05-22,2016-04-18,2,"Literaturas na Educação Básica",26
10,"Marco Yumoma Neto","01627 Lopez Path Suite 161",+1-024-173-1193x0353,1969-05-22,2016-04-18,2,"Variação Linguística",25
2,"Marli de Holanda Opinvic","00183 Charles Mountain",+1-008-628-9256x246,1963-01-15,2016-04-07,2,"Criação e Melhorias",15
2,"Marli de Holanda Opinvic","00183 Charles Mountain",+1-008-628-9256x246,1963-01-15,2016-04-07,2,"Elementos do Marketing",13
2,"Marli de Holanda Opinvic","00183 Charles Mountain",+1-008-628-9256x246,1963-01-15,2016-04-07,2,"Mapeamento do Público",14
2,"Marli de Holanda Opinvic","00183 Charles Mountain",+1-008-628-9256x246,1963-01-15,2016-04-07,2,"Mídias Sociais",16
20,"Moacyr Arthur Góis","05983 Michael Spring Suite 047",+55-19-90001-8889,1986-02-28,2021-09-05,9,"Banco de Dados",10
16,"Romildo Ademar da Silva Fragoso Júnior","0377 Joshua Circle",+1-051-279-6304x91019,1942-11-25,2017-09-05,9,"Equações Lineares",4
15,"Ronaldo Severino Berrea Bozuga","03656 Ward Plaza Apt. 978",+1-047-466-1919x28434,1931-01-12,2017-09-14,3,"Espanhol Avançado",32
15,"Ronaldo Severino Berrea Bozuga","03656 Ward Plaza Apt. 978",+1-047-466-1919x28434,1931-01-12,2017-09-14,3,"Inglês Avançado",29
5,"Selena Caroline Cavalcante da Silva","0137 Shelton Rest Apt. 273",+1-013-001-8838,1935-01-04,2016-11-09,1,"Cálculo 1",1
12,"Sílvia Rosimeire Franco","022 Thomas Ridges Apt. 464",+55-11-91010-2020,1940-04-04,2019-12-03,9,"Data Science e IA",9
3,"Walter Mário de Muniz","00626 Jonathan Hollow Apt. 314",+55-11-99999-8888,1958-03-21,2016-09-25,3,"Espanhol Básico",30
3,"Walter Mário de Muniz","00626 Jonathan Hollow Apt. 314",+55-11-99999-8888,1958-03-21,2016-09-25,3,"Espanhol Intermediário",31
